ID	TARGET	TEXT	STANCE	WORDS	IS_CORRECT	PREDICT
68	IphoneSE	烦死了。我最后抓狂了。买了Iphone6S plus～坦白说，还是5S手感好。	AGAINST	烦死 我 最后 抓狂 买 iphone6s plus 坦白 坦白说 还是 NUMBER s 手感 好	True	AGAINST
75	IphoneSE	丑爆了  丑爆了  丑爆了	AGAINST	丑 爆 丑 爆 丑 爆	False	FAVOR
80	IphoneSE	当初5S给自己摔了，恨不得重新买一个。最后因为价格和6差不多，再加上貌似要停产5的消息....终于等回一手掌握的日子了	FAVOR	当初 NUMBER s 给 自己 摔 恨不得 不得 重新 买 一个 最后 因为 价格 NUMBER 差不多 不多 再 加上 貌似 要 停产 NUMBER 消息 终于 等 回 一手 掌握 日子	True	FAVOR
84	IphoneSE	把 iPhone 6s plus 给了少爷，自己换了 iPhone SE 玫瑰金和 iPad Pro 凑一对儿～感觉今年的自己冒着粉红泡泡的少女心......头一次没选择同步备份而是设置成了新 iPhone，在放哪些 App 怎么放上认真思考了下，摈弃了需要大屏体验的选择，一屏幕效率一屏幕生活～所有的需要观感体验的都丢去 Pro 上了～	NONE	把 iphone NUMBER s plus 给 少爷 自己 换 iphone se 玫瑰 金 ipad pro 凑 一对 儿 感觉 今年 自己 冒 着 粉红 泡泡 少女 心 头 一次 没 选择 同步 备份 而是 设置 成 新 iphone 在 放 哪些 app 怎么 放 上 认真 认真思考 思考 了 下 摈弃 需要 大 屏 体验 选择 一 屏幕 效率 一 屏幕 生活 所有 需要 观感 体验 都 丢 去 pro 上	False	FAVOR
85	IphoneSE	对于SE，没有想买的欲望。。。	AGAINST	对于 se 没有 想买 欲望	False	FAVOR
87	IphoneSE	想分期，可是最多分期是三期。不知道五一有没有促销呢。	NONE	想 分期 可是 最 多 分期 是 三期 不 知道 五一 有没有 没有 促销 呢	False	AGAINST
91	IphoneSE	国行最低3288元成为了史上最便宜的iPhone，而且中国也在3月31日的首发名单中，据称这回是剑指安卓。。。不过，小屏回得去吗？用安卓的你会买吗？	NONE	国 行 最低 NUMBER 元 成为 史 上 最 便宜 iphone 而且 中国 也 在 NUMBER 月 NUMBER 日 首发 名单 中 据称 这回 是 剑 指 安 卓 不过 小 屏 回得 回得去 吗 用 安 卓 你 会 买 吗	False	AGAINST
92	IphoneSE	你们有钱你们买 我就看看  399刀其实性价比挺高的	FAVOR	你们 有钱 你们 买 我 就 看看 NUMBER 刀 其实 性价比 挺 高	True	FAVOR
94	IphoneSE	哇 今日放晚学翻到屋企 一进入自己房间第一眼就见到一台iphonese5放系我写字台	NONE	哇 今日 放 晚学 翻 到 屋企 一 进入 自己 房间 第一 第一眼 一眼 就 见到 一台 iphonese5 放 系 我 写字 写字台	False	AGAINST
95	IphoneSE	后置1200万像素摄像头，支持Live Photos与Apple Pay，很遗憾并不支持3D Touch；16GB和64GB国行售价分别为3288元和4088元。	AGAINST	后置 NUMBER 万 像素 摄像 摄像头 像头 支持 live photos 与 apple pay 很 遗憾 并 不 支持 NUMBER d touch NUMBER gb NUMBER gb 国 行 售价 分别 为 NUMBER 元 NUMBER 元	True	AGAINST
96	IphoneSE	再过两周，苹果新机iPhone SE就要上市了，这是苹果在“中低端”市场的又一次试水，是总结过iPhone5C失败经验后的又一次起航，但iPhone SE的市场前景很难令人放心	NONE	再 过 两周 苹果 新机 iphone se 就要 上市 这 是 苹果 在 中低 中低端 低端 市场 又 一次 试 水 是 总结 过 iphone5c 失败 经验 后 又 一次 起航 但 iphone se 市场 市场前景 前景 很 难 令人 放心	False	FAVOR
100	IphoneSE	他说追到了就在一起了呗。是啊追到了就好其他好像也没有什么要考虑的。真的没有吗。只要越看越顺眼就好了，对吗。	FAVOR	他 说 追到 就 在 一起 呗 是 啊 追到 就 好 其他 好像 也 没有 什么 要 考虑 真的 没有 吗 只要 越 看 越 顺眼 就 好 对 吗	True	FAVOR
101	IphoneSE	前摄像头和5s是一样的！只后摄像头提升了！	NONE	前 摄像 摄像头 像头 NUMBER s 是 一样 只 后 摄像 摄像头 像头 提升	False	AGAINST
104	IphoneSE	一天要充电两次，一到10%就自动关机，所以万能又机智额小伙伴们你们说说我要不要去联通存话费送手机搞一台iphone se？	NONE	一天 要 充电 两次 一 到 NUMBER 就 自动 自动关机 关机 所以 万能 又 机智 额 小伙 小伙伴 伙伴 们 你们 说 说 我 要 不要 去 联通 存 话费 送 手机 搞 一台 iphone se	False	FAVOR
106	IphoneSE	虽然我们暂时还不确定苹果4英寸新机会命名为iPhone5se还是iPhoneSE，但是这不妨碍我们对这款产品的期待。	FAVOR	虽然 我们 暂时 还 不 确定 苹果 英寸 新 机会 命名 为 iphone5se 还是 iphonese 但是 这 不 妨碍 我们 对 这款 产品 期待	True	FAVOR
112	IphoneSE	不错，是我喜欢的款，下手了	FAVOR	不错 是 我 喜欢 款 下手	False	AGAINST
113	IphoneSE	苹果公司将在本月晚些时候发布一款新的4英寸iPhone——iPhone SE。一时之间看不明白这个“SE”命名方式的人很多，而早前的消息表示这款新iPhone将被命名为iPhone 5SE	NONE	苹果 苹果公司 公司 将 在 本月 晚些 晚些时候 时候 发布 一款 新 NUMBER 英寸 iphone iphone se 一时 一时之间 之间 看 不 明白 这个 se 命名 方式 人 很多 而 早前 消息 表示 这款 新 iphone 将 被 命名 为 iphone NUMBER se	False	FAVOR
116	IphoneSE	今天是苹果4寸新机iPhone SE正式上市的日子，很多预订的用户也第一时间收到了新机，问题也随之而来，目前网友反应最多的就是“黄屏”。	NONE	今天 是 苹果 NUMBER 寸 新机 iphone se 正式 上市 日子 很多 预订 用户 也 第一 时间 收到 新机 问题 也 随之 随之而来 而来 目前 网友 反应 最多 就是 黄 屏	False	FAVOR
117	IphoneSE	不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR	不是 买不起 只是 喜欢 小 屏 而已 so 苹果 出 iphonese 怎么 就要 被 淘汰 中国 喜欢 小 屏 人 多着 多着呢	True	FAVOR
121	IphoneSE	每月仅需 15 美元就能将 iPhone SE 抱回家了，你需要这样的服务吗？	NONE	每月 仅 需 NUMBER 美元 就 能 将 iphone se 抱 回家 你 需要 这样 服务 吗	False	FAVOR
124	IphoneSE	手机壳厂家万万妹想到，堆在角落里积压库存多时卖不出去的iphone5手机壳居然焕发了第二春。	AGAINST	手机 壳 厂家 万万 妹 想到 堆 在 角落 角落里 积压 库存 多 时 卖不出去 不出 出去 iphone5 手机 壳 居然 焕发 第二 春	False	FAVOR
127	IphoneSE	现在用小屏的人还是挺多的，不是所有人都对大屏感冒	FAVOR	现在 用 小 屏 人 还是 挺 多 不是 所有 所有人 有人 都 对 大 屏 感冒	False	AGAINST
128	IphoneSE	是啊，苹果手机在美国也就是一个千元机了，来到中国就这么贵了，坚决不买。	AGAINST	是 啊 苹果 手机 在 美国 也 就是 一个 千元 机 来到 中国 就 这么 贵 坚决 不 买	False	FAVOR
131	IphoneSE	本来还想买个玫瑰金的，居然黄屏，算啦。等iPhone7好了	AGAINST	本来 还 想 买 个 玫瑰 金 居然 黄 屏 算啦 等 iphone7 好	True	AGAINST
132	IphoneSE	自从用了plus，就再也不想用小屏了	AGAINST	自从 用 plus 就 再也 不想 用 小 屏	False	FAVOR
137	IphoneSE	iPhoneSE黄屏验证了一句俗语便宜没好货	AGAINST	iphonese 黄 屏 验证 一句 俗语 便宜 没 好 货	False	FAVOR
147	IphoneSE	睡前来个无责任预测，iPhone SE应该卖的不会太差，但是主要集中于美版、港版——毕竟这两个版本更低的价格摆着呢。	FAVOR	睡 前来 个 无 责任 预测 iphone se 应该 卖 不会 太 差 但是 主要 集中 于 美版 港版 毕竟 这 两个 版本 更 低 价格 摆 着 呢	True	FAVOR
151	IphoneSE	屏幕顶部大概有3mm的黄带…客服说不是通病，你还是换吧。。	AGAINST	屏幕 顶部 大概 有 NUMBER mm 黄 带 客服 说 不是 通病 你 还是 换	True	AGAINST
152	IphoneSE	天哪！这个价格太爆炸了，国产手机大危机？？	FAVOR	天 哪 这个 价格 太 爆炸 国产 国产手机 手机 大 危机	True	FAVOR
154	IphoneSE	要是苹果把这款se的屏幕做到跟6一样大的话，我感觉除了se所有都要完，不直安卓要完包括苹果6的所有衍生型号也都要完，问啥库克船长不愿意一剑封喉呢	AGAINST	要是 苹果 把 这款 se 屏幕 做到 跟 NUMBER 一样 大 的话 我 感觉 除了 se 所有 都 要 完 不 直 安 卓 要 完 包括 苹果 NUMBER 所有 衍生 型号 也 都 要 完 问 啥 库克 船长 不 愿意 一剑 封 喉 呢	True	AGAINST
161	IphoneSE	iPhone SE印度没人要：贵的离谱	AGAINST	iphone se 印度 没人 要 贵 离谱	False	FAVOR
164	IphoneSE	因为苹果店的服务态度吼吼啊，苏宁就是一坨屎啊，靴靴。	NONE	因为 苹果 店 服务 服务态度 态度 吼吼 啊 苏宁 就是 一 坨 屎 啊 靴 靴	False	AGAINST
165	IphoneSE	基本找不到设计精良的小屏安卓手机了。而这部分市场需求依然巨大，安卓厂商们能否上点心？	FAVOR	基本 找 不到 设计 精良 小 屏 安 卓 手机 而 这部 这部分 部分 市场 市场需求 需求 依然 巨大 安 卓 厂商 们 能否 上 点心	True	FAVOR
166	IphoneSE	还不贵，销量肯定不错。对于一个外设服务商，我只想说，谢谢	FAVOR	还 不贵 销量 肯定 不错 对于 一个 外设 服务 服务商 我 只 想 说 谢谢	False	AGAINST
167	IphoneSE	之前各种预测的iphoneSE真的出现了 只不过预测的都是SE采用6s的外观 没想到用的还是5s…猜中了开头没猜中结局啊	AGAINST	之前 各种 预测 iphonese 真的 出现 只不过 不过 预测 都 是 se 采用 NUMBER s 外观 没想 没想到 想到 用 还是 NUMBER s 猜中 开头 没 猜中 结局 啊	False	FAVOR
168	IphoneSE	我觉得这么大的市场应该应该体验，调查一下中国人的喜好再出手机。不要每次总是却一点。	AGAINST	我 觉得 这么 大 市场 应该 应该 体验 调查 一下 中国 人 喜好 再 出 手机 不要 每次 总是 却 一点	False	FAVOR
169	IphoneSE	卧槽卧槽。。这个价格我有点心动 不过用这玩意别人看起来就跟5s一毛一样	NONE	卧槽 卧槽 这个 价格 我 有点 心动 不过 用 这 玩意 别人 看起 看起来 起来 就 跟 NUMBER s 一 毛 一样	False	AGAINST
175	IphoneSE	iPhone SE 是一部定位及其精准的手机，目标人群就是那些喜欢 iOS 系统和小尺寸手机的消费者，不得不说库克还是很会做生意的。让尽可能多的用户进入 Apple 的产品生态中去，这也是 Apple 一贯的做法。	FAVOR	iphone se 是 一部 定位 及其 精准 手机 目标 人群 就是 那些 喜欢 ios 系统 小 尺寸 手机 消费 消费者 不得 不得不 说 库克 还是 很 会 做生意 生意 让 尽可 尽可能 可能 多 用户 进入 apple 产品 生态 中 去 这 也 是 apple 一贯 做法	False	AGAINST
177	IphoneSE	外观有些失望，除了颜色很难区分5s与se，不过配置还是可喜的，当个备用机好不错，比一些廉价的安卓机好一些	NONE	外观 有些 失望 除了 颜色 很 难 区分 NUMBER s 与 se 不过 配置 还是 可喜 当 个 备用 备用机 好 不错 比 一些 廉价 安 卓 机 好 一些	False	AGAINST
181	IphoneSE	iPhoneSE 价格良心，年轻人的第一台iPhone。	FAVOR	iphonese 价格 良心 年轻 年轻人 第一 第一台 一台 iphone	True	FAVOR
182	IphoneSE	3月31日就开始销售， 决定入手一个，毕竟真的不喜欢大屏手机。 不管苹果多好，没中间的都是浮云。	FAVOR	NUMBER 月 NUMBER 日 就 开始 销售 决定 入手 一个 毕竟 真的 不 喜欢 大 屏 手机 不管 苹果 多 好 没 中间 都 是 浮云	True	FAVOR
184	IphoneSE	看了评论和网上商城的一些评论就知道，很多买这款手机的人以前用的都是5或者5S，几乎没有以前买大屏手机的用户来买这个手机，这说明了什么？很明显该手机就是用来迎合那些舍不得花钱买6而又想继续装苹果B的人。	AGAINST	看 评论 网上 网上商城 商城 一些 评论 就 知道 很多 买 这款 手机 人 以前 用 都 是 NUMBER 或者 NUMBER s 几乎 没有 以前 买 大 屏 手机 用户 来 买 这个 手机 这 说明 什么 很 明显 该 手机 就是 用来 迎合 那些 舍不得 不得 花钱 花钱买 NUMBER 而 又 想 继续 装 苹果 b 人	False	FAVOR
194	IphoneSE	现在6依然是新新的，这次SE出来，24号毫不犹豫的在官网订购了，4月5号到手，16G玫瑰金，用作备用机，续航什么的都很好特别的后置拍照，必须给力，没有出现电源键松动和黄屏现象	FAVOR	现在 依然 是 新 新 这次 se 出来 NUMBER 号 毫不 毫不犹豫 犹豫 在 官 网 订购 NUMBER 月 NUMBER 号 到手 NUMBER g 玫瑰 金 用作 备用 备用机 续航 什么 都 很 好 特别 后置 拍照 必须 给 力 没有 出现 电源 键 松动 黄 屏 现象	True	FAVOR
198	IphoneSE	而仍然采用了iPhone 5s时期的初代指纹识别技术。但本质上，它就是一个小型的6s。	NONE	而 仍然 采用 iphone NUMBER s 时期 初 代 指纹 指纹识别 识别 技术 但 本质 上 它 就是 一个 小型 NUMBER s	False	FAVOR
200	IphoneSE	好久没有体验到发工资带来的乐趣了，到账后立刻买了iPhoneSE，玫瑰金唯一不足西湖店和万象城店都没玫瑰金…有时候做个月光族也蛮好的，发工资了开心～	FAVOR	好久 没有 体验 到 发工资 工资 带来 乐趣 到 账 后 立刻 买 iphonese 玫瑰 金 唯一 不足 西湖 店 万象 城 店 都 没 玫瑰 金 有时 有时候 时候 做 个 月光 月光族 也 蛮 好 发工资 工资 开心	True	FAVOR
202	IphoneSE	关键在用户体验！很多厂家只知道堆硬件，也只会堆硬件，所谓高配低价或适中价，以此来博取眼球。	NONE	关键 在 用户 体验 很多 厂家 只 知道 堆 硬件 也 只 会 堆 硬件 所谓 高 配 低价 或 适中 价 以此 来 博取 眼球	False	FAVOR
208	IphoneSE	有时候一顿一顿的 不是很流畅	AGAINST	有时 有时候 时候 一顿 一顿 不是 很 流畅	False	FAVOR
210	IphoneSE	至少第一眼看上去不那么土了。但手感一定是6s好，SE根本不是一个档次的。	FAVOR	至少 第一 第一眼 一眼 看上 看上去 上去 不 那么 土 但 手感 一定 是 NUMBER s 好 se 根本 不是 一个 档次	False	AGAINST
214	IphoneSE	白带不异常，经典三段式，覆盖 2.5D 玻璃，整体轮廓变得更加圆润。传闻售价 3688 元起。	NONE	白带 不 异常 经典 三段 三段式 段式 覆盖 NUMBER d 玻璃 整体 轮廓 变得 更加 圆润 传闻 售价 NUMBER 元 起	False	AGAINST
217	IphoneSE	苹果最大的优点是怎么用怎么折腾都流畅不会卡，这点真的是很难做到的，安卓你试一下狂用狂折腾看看会不会卡，呵呵	FAVOR	苹果 最大 优点 是 怎么 用 怎么 折腾 都 流畅 不会 卡 这点 真的 是 很 难 做到 安 卓 你 试一下 一下 狂 用 狂 折腾 看看 会 不会 卡 呵呵	True	FAVOR
222	IphoneSE	 但是5S落伍了！特别可以！ 但是没想到发布了这款SE！那必须买	FAVOR	但是 NUMBER s 落伍 特别 可以 但是 没想 没想到 想到 发布 这款 se 那 必须 买	True	FAVOR
223	IphoneSE	iPhone SE…把6s的功能搬到了5s的壳子里…	AGAINST	iphone se 把 NUMBER s 功能 搬到 NUMBER s 壳子 里	False	NONE
226	IphoneSE	SE这么小屏的手机加上只有1136 x 640 分辨率，几乎所有游戏，地图导航，高清视频 都用不了或者看不清，买回去只能当作纪念和当摆设 根本不实用 完完全全的累赘	AGAINST	se 这么 小 屏 手机 加上 只有 NUMBER NUMBER 分辨 分辨率 辨率 几乎 所有 游戏 地图 导航 高清 视频 都 用 不了 或者 看不清 买回 买回去 回去 只能 当作 纪念 当 摆设 根本 不 实用 完完全全 完全 全 累赘	True	AGAINST
231	IphoneSE	PhoneSE中国预订突破340万 土豪金受追捧	FAVOR	phonese 中国 预订 突破 NUMBER 万 土豪 金 受 追捧	True	FAVOR
237	IphoneSE	不说别的，就冲苹果的流畅度，也足够秒杀一堆国产机了吧	FAVOR	不 说 别的 就 冲 苹果 流畅 度 也 足够 秒杀 一堆 国产 国产机	True	FAVOR
238	IphoneSE	这个什么iPhonese感觉就是来骗钱的，3000多为什么还叫便宜，还不如华为手机了，3000多国产手机都很高端了！	AGAINST	这个 什么 iphonese 感觉 就是 来 骗钱 NUMBER 多 为什么 什么 还 叫 便宜 还 不如 华为 手机 NUMBER 多 国产 国产手机 手机 都 很 高端	False	FAVOR
240	IphoneSE	如果苹果只是一个小牌子，我想不会有这么多人关心吧，再多的吐槽，你也不得不承认他是一部很好用的手机	FAVOR	如果 苹果 只是 一个 小 牌子 我 想 不会 有 这么 多 人 关心 再 多 吐 槽 你 也 不得 不得不 承认 他 是 一部 很 好用 手机	True	FAVOR
247	IphoneSE	可以可以 这下放心了，6s用户哭晕，5s再战两年   睡觉睡觉，可以不用看了	FAVOR	可以 可以 这 下 放心 NUMBER s 用户 哭 晕 NUMBER s 再战 两年 睡觉 睡觉 可以 不用 看	False	AGAINST
257	IphoneSE	可是我没钱可是我没钱可是我没钱 我得考虑一下去做家教了 生活怎么这么艰难 手机真的很卡。。。卡。。啊。啊啊	NONE	可是 我 没钱 可是 我 没钱 可是 我 没钱 我 得 考虑 考虑一下 一下 去 做 家教 生活 怎么 这么 艰难 手机 真的 很 卡 卡 啊 啊 啊	False	AGAINST
258	IphoneSE	单手操作挺好的 谁说手机非要大屏的 少放屁啦	FAVOR	单手 单手操作 操作 挺 好 谁 说 手机 非要 大 屏 少 放屁 啦	True	FAVOR
267	IphoneSE	作为一个小屏党，iPhone SE真的诱惑我。但是，作为一个男人，我觉得我的肾更重要	NONE	作为 一个 小 屏 党 iphone se 真的 诱惑 我 但是 作为 一个 男人 我 觉得 我 肾 更 重要	False	FAVOR
274	IphoneSE	更快的4g速度（体验不出），更高像素摄像头。所以买SE体验提升最大的是iphone 5的用户。	FAVOR	更快 NUMBER g 速度 体验 不 出 更 高像素 像素 摄像 摄像头 像头 所以 买 se 体验 提升 最大 是 iphone NUMBER 用户	False	AGAINST
275	IphoneSE	外观，握感，一般（上一步是5S），无缝切换放佛没有换手机。电池续航，惊喜。	FAVOR	外观 握 感 一般 上 一步 是 NUMBER s 无缝 切换 放 佛 没有 换 手机 电池 续航 惊喜	True	FAVOR
276	IphoneSE	店员说不知道，至今没有开过，天啦，16g都没有一台卖掉，这个市场多差	AGAINST	店员 说 不 知道 至今 没有 开 过 天 啦 NUMBER g 都 没有 一台 卖掉 这个 市场 多 差	True	AGAINST
278	IphoneSE	我也把6给了妈妈用，自己定了一台se	FAVOR	我 也 把 NUMBER 给 妈妈 用 自己 定 一台 se	False	AGAINST
281	IphoneSE	就是所谓的屏占比。如果iphone5s或者se有一个4.7或者5寸的屏幕，那就真的完美了。希望手机厂商能够长点脑子。	AGAINST	就是 所谓 屏 占 比 如果 iphone5s 或者 se 有 一个 NUMBER 或者 NUMBER 寸 屏幕 那 就 真的 完美 希望 手机 厂商 能够 长 点 脑子	True	AGAINST
282	IphoneSE	已用两周，满意，尤其电池续航！	FAVOR	已 用 两周 满意 尤其 电池 续航	True	FAVOR
283	IphoneSE	东西是挺好其实 但是你tm要提前做好保密啊！！俩月前就被曝光了 开发布会还有何意义	NONE	东西 是 挺 好 其实 但是 你 tm 要 提前 做好 保密 啊 俩 月 前 就 被 曝光 开 发布 发布会 还 有何意义 何意 意义	False	AGAINST
285	IphoneSE	别跟着安卓比大小了，他们还整天比内存和Core呢，苹果不需要参与以弥补缺陷为目的的比拼。如果6se是4寸，我就买。	FAVOR	别 跟着 安 卓 比 大小 他们 还 整天 比 内存 core 呢 苹果 不 需要 参与 以 弥补 缺陷 为 目的 比拼 如果 NUMBER se 是 NUMBER 寸 我 就 买	True	FAVOR
289	IphoneSE	64g粉4020、64g金4080、64g白4220、64g灰4150。	NONE	NUMBER g 粉 NUMBER NUMBER g 金 NUMBER NUMBER g 白 NUMBER NUMBER g 灰 NUMBER	False	FAVOR
292	IphoneSE	装逼都不好用。又是一个短命手机，我赌五毛。	AGAINST	装 逼 都 不好 用 又 是 一个 短命 手机 我 赌 五毛	False	FAVOR
293	IphoneSE	本来就是废物利用，不出故障真对不起这些用剩的硬件了	AGAINST	本来 就是 废物 废物利用 利用 不 出 故障 真对 真对不起 对不起 这些 用 剩 硬件	False	FAVOR
298	IphoneSE	4英寸新机发布？iPhone 5s也许才是大赢家：不知道这一次，苹果能不能让小屏手机重新火起来？	NONE	英寸 新机 发布 iphone NUMBER s 也许 才 是 大赢家 赢家 不 知道 这 一次 苹果 能 不能 让 小 屏 手机 重新 火 起来	False	AGAINST
308	IphoneSE	便宜不了，主要面对喜欢小屏又嫌5s配置太低的人，压感屏其实在很多人眼里都是一个然并卵的功能，喜欢4寸的人真不一定需要	AGAINST	便宜 不了 主要 面对 喜欢 小 屏 又 嫌 NUMBER s 配置 太 低 人 压感 屏 其实 在 很多 人 眼里 都 是 一个 然 并 卵 功能 喜欢 NUMBER 寸 人 真不 一定 需要	True	AGAINST
322	IphoneSE	非常好，我就喜欢4英寸的手机，而且运行起来也非常快，价格也还行	FAVOR	非常 好 我 就 喜欢 英寸 手机 而且 运行 起来 也 非常 快 价格 也 还行	True	FAVOR
324	IphoneSE	看看看着眉毛就就起来了，眼累	AGAINST	看看 看着 眉毛 就 就 起来 眼 累	True	AGAINST
325	IphoneSE	苹果SE的利润率明显下降。SE的物料成本和6s相比，降低了22%。可见苹果对供应链的掌控能力，利用了6s手机剩余的零部件库存，从而降低了成本。	AGAINST	苹果 se 利润 利润率 明显 下降 se 物料 成本 NUMBER s 相比 降低 NUMBER 可见 苹果 对 供应 供应链 掌控 能力 利用 NUMBER s 手机 剩余 零部件 部件 库存 从而 降低 成本	True	AGAINST
326	IphoneSE	但是你1G运存，还能不能还好的做一个小屏旗舰呢。我感觉买se的完全就是情怀，现在我依然认为，iPhone 5s的工业设计与手感最棒没有之一！	AGAINST	但是 你 NUMBER g 运 存 还 能 不能 还好 做 一个 小 屏 旗舰 呢 我 感觉 买 se 完全 就是 情怀 现在 我 依然 认为 iphone NUMBER s 工业 设计 与 手感 最 棒 没有 之一	True	AGAINST
328	IphoneSE	现在的趋势是5寸以上大屏这我们都知道，不过4寸到5寸这个区间的小屏用户也肯定是有的，只是把这个小屏需求作为刚性需求的群体规模有多大不得而知。	NONE	现在 趋势 是 NUMBER 寸 以上 大 屏 这 我们 都 知道 不过 NUMBER 寸 到 NUMBER 寸 这个 区间 小 屏 用户 也 肯定 是 有 只是 把 这个 小 屏 需求 作为 刚性 需求 群体 规模 有 多 大 不得 不得而知	False	AGAINST
330	IphoneSE	这就是那个没有了乔布斯之后的苹果商人，眼前卖更多赚更多就好，根本没必要考虑更美好的世界和将来。洗洗睡吧，晚安。	AGAINST	这 就是 那个 没有 乔布 乔布斯 布斯 之后 苹果 商人 眼前 卖 更多 赚 更多 就 好 根本 没 必要 考虑 更 美好 世界 将来 洗洗 睡 晚安	False	FAVOR
332	IphoneSE	像素有所提升，电池能力比以前好很多	FAVOR	像素 有所 提升 电池 能力 比 以前 好 很多	True	FAVOR
335	IphoneSE	这个新手机和旧手机又是一模一样的，有意思嘛？没有创新。	AGAINST	这个 新手 新手机 手机 旧 手机 又 是 一模一样 一样 有意 有意思 意思 嘛 没有 创新	False	FAVOR
338	IphoneSE	硬件系统强悍，屏幕小了点。如果以此外观推出4.7屏幕的手机，那简直完美至极。	FAVOR	硬件 系统 强悍 屏幕 小 点 如果 以此 外观 推出 NUMBER 屏幕 手机 那 简直 完美 至极	True	FAVOR
344	IphoneSE	前所未有的一个低价，来袭	FAVOR	前所 前所未有 未有 一个 低价 来 袭	True	FAVOR
349	IphoneSE	盖世S4这个手机陪我了3年。不离不弃终于有退休的一天了。 新机iPhonese 等了你多久终于要出来了4寸机。3:31号回武汉并给小S4放回当初买你的盒子里。	NONE	盖世 s4 这个 手机 陪 我 NUMBER 年 不离 不弃 终于 有 退休 一天 新机 iphonese 等 你 多久 终于 要 出来 NUMBER 寸 机 NUMBER 号 回 武汉 并 给 小 s4 放回 当初 买 你 盒子 里	False	AGAINST
351	IphoneSE	价格很实在，能接受！	FAVOR	价格 很 实在 能 接受	True	FAVOR
