ID	TARGET	TEXT	STANCE	PREDICT	IS_CORRECT
64	IphoneSE	iPhonese 三星盖乐世S7/S7edge、vivoX5play OPPO R9 meizu pro6 华为P9 zuk 乐视max2都相继问世 堪称手机世界大战啊	NONE	FAVOR	False
68	IphoneSE	和之前用的5S长的一样，没有购买欲！由于内存不足，拍个照就提醒，烦死了。我最后抓狂了。买了Iphone6S plus～坦白说，还是5S手感好。	AGAINST	AGAINST	True
75	IphoneSE	丑爆了  丑爆了  丑爆了	AGAINST	FAVOR	False
80	IphoneSE	听说iPhoneSE回归5的屏幕，掷地有声一句：老娘就知道！当初5S给自己摔了，恨不得重新买一个。最后因为价格和6差不多，再加上貌似要停产5的消息....终于等回一手掌握的日子了	FAVOR	AGAINST	False
84	IphoneSE	把 iPhone 6s plus 给了少爷，自己换了 iPhone SE 玫瑰金和 iPad Pro 凑一对儿～感觉今年的自己冒着粉红泡泡的少女心......头一次没选择同步备份而是设置成了新 iPhone，在放哪些 App 怎么放上认真思考了下，摈弃了需要大屏体验的选择，一屏幕效率一屏幕生活～所有的需要观感体验的都丢去 Pro 上了～	NONE	NONE	True
85	IphoneSE	对于SE，没有想买的欲望。。。	AGAINST	AGAINST	True
87	IphoneSE	问朋友是买iphone SE还是6S，他说SE，想分期，可是最多分期是三期。不知道五一有没有促销呢。	NONE	AGAINST	False
91	IphoneSE	hi~ 各位早上好~ 今天凌晨，苹果公司发布了最新款的iPhone SE手机。长得跟5S一样，回归了小屏，却有着一颗6S的心，性能堪比6S，国行最低3288元成为了史上最便宜的iPhone，而且中国也在3月31日的首发名单中，据称这回是剑指安卓。。。不过，小屏回得去吗？用安卓的你会买吗？	NONE	NONE	True
92	IphoneSE	你们有钱你们买 我就看看  399刀其实性价比挺高的	FAVOR	AGAINST	False
94	IphoneSE	哇 今日放晚学翻到屋企 一进入自己房间第一眼就见到一台iphonese5放系我写字台	NONE	FAVOR	False
95	IphoneSE	苹果今晨发布iPhone SE，外型沿用5s，性能翻倍；4英寸屏幕搭载A9处理器，后置1200万像素摄像头，支持Live Photos与Apple Pay，很遗憾并不支持3D Touch；16GB和64GB国行售价分别为3288元和4088元。	AGAINST	NONE	False
96	IphoneSE	再过两周，苹果新机iPhone SE就要上市了，这是苹果在“中低端”市场的又一次试水，是总结过iPhone5C失败经验后的又一次起航，但iPhone SE的市场前景很难令人放心	NONE	NONE	True
100	IphoneSE	有些东西看久了会腻，有些东西却越看越顺眼。曾经对iPhone5的板砖设计翻白眼的我现在也会想要一台SE了。说白了感情好像也是这么回事。我问过我哥怎么跟嫂子在一起的，他说追到了就在一起了呗。是啊追到了就好其他好像也没有什么要考虑的。真的没有吗。只要越看越顺眼就好了，对吗。	FAVOR	AGAINST	False
101	IphoneSE	前摄像头和5s是一样的！只后摄像头提升了！	NONE	AGAINST	False
104	IphoneSE	两年前签的手机合约还有一个多月到期，用了一年半的一加最近电池要挂了，一天要充电两次，一到10%就自动关机，所以万能又机智额小伙伴们你们说说我要不要去联通存话费送手机搞一台iphone se？	NONE	AGAINST	False
106	IphoneSE	虽然我们暂时还不确定苹果4英寸新机会命名为iPhone5se还是iPhoneSE，但是这不妨碍我们对这款产品的期待。	FAVOR	AGAINST	False
112	IphoneSE	不错，是我喜欢的款，下手了	FAVOR	FAVOR	True
113	IphoneSE	苹果公司将在本月晚些时候发布一款新的4英寸iPhone——iPhone SE。一时之间看不明白这个“SE”命名方式的人很多，而早前的消息表示这款新iPhone将被命名为iPhone 5SE	NONE	NONE	True
116	IphoneSE	今天是苹果4寸新机iPhone SE正式上市的日子，很多预订的用户也第一时间收到了新机，问题也随之而来，目前网友反应最多的就是“黄屏”。	NONE	NONE	True
117	IphoneSE	很多人挺搞笑的，说苹果就必须要越造越大才有人买，那你怎么不干脆去买个电脑 买iphone6 plus纯属为了显摆有钱的大有人在，不想换plus的，不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR	FAVOR	True
121	IphoneSE	每月仅需 15 美元就能将 iPhone SE 抱回家了，你需要这样的服务吗？	NONE	NONE	True
124	IphoneSE	手机壳厂家万万妹想到，堆在角落里积压库存多时卖不出去的iphone5手机壳居然焕发了第二春。	AGAINST	AGAINST	True
127	IphoneSE	现在用小屏的人还是挺多的，不是所有人都对大屏感冒	FAVOR	FAVOR	True
128	IphoneSE	是啊，苹果手机在美国也就是一个千元机了，来到中国就这么贵了，坚决不买。	AGAINST	AGAINST	True
131	IphoneSE	本来还想买个玫瑰金的，居然黄屏，算啦。等iPhone7好了	AGAINST	AGAINST	True
132	IphoneSE	自从用了plus，就再也不想用小屏了	AGAINST	AGAINST	True
137	IphoneSE	iPhoneSE黄屏验证了一句俗语便宜没好货	AGAINST	FAVOR	False
147	IphoneSE	睡前来个无责任预测，iPhone SE应该卖的不会太差，但是主要集中于美版、港版——毕竟这两个版本更低的价格摆着呢。	FAVOR	NONE	False
151	IphoneSE	屏幕顶部大概有3mm的黄带…客服说不是通病，你还是换吧。。	AGAINST	AGAINST	True
152	IphoneSE	天哪！iphone se最低只要399美元！天哪！这个价格太爆炸了，国产手机大危机？？	FAVOR	FAVOR	True
154	IphoneSE	要是苹果把这款se的屏幕做到跟6一样大的话，我感觉除了se所有都要完，不直安卓要完包括苹果6的所有衍生型号也都要完，问啥库克船长不愿意一剑封喉呢	AGAINST	AGAINST	True
161	IphoneSE	iPhone SE印度没人要：贵的离谱	AGAINST	AGAINST	True
164	IphoneSE	虽然苏宁的iphone 6s比官网便宜700块，我还是毅然在官网下了se的订单。为啥啊？因为苹果店的服务态度吼吼啊，苏宁就是一坨屎啊，靴靴。	NONE	AGAINST	False
165	IphoneSE	手机主流屏幕尺寸越来越大，4～5寸的小屏手机反倒成了蓝海市场。目前市面上除了iPhone外，基本找不到设计精良的小屏安卓手机了。而这部分市场需求依然巨大，安卓厂商们能否上点心？	FAVOR	FAVOR	True
166	IphoneSE	苹果推出iPhone se，关键外形和5s是一样的，配置是6s的，还不贵，销量肯定不错。对于一个外设服务商，我只想说，谢谢	FAVOR	FAVOR	True
167	IphoneSE	之前各种预测的iphoneSE真的出现了 只不过预测的都是SE采用6s的外观 没想到用的还是5s…猜中了开头没猜中结局啊	AGAINST	AGAINST	True
168	IphoneSE	苹果始终就是单卡，是不是换种观念看中国，我觉得这么大的市场应该应该体验，调查一下中国人的喜好再出手机。不要每次总是却一点。	AGAINST	AGAINST	True
169	IphoneSE	卧槽卧槽。。这个价格我有点心动 不过用这玩意别人看起来就跟5s一毛一样	NONE	FAVOR	False
175	IphoneSE	iPhone SE 是一部定位及其精准的手机，目标人群就是那些喜欢 iOS 系统和小尺寸手机的消费者，不得不说库克还是很会做生意的。让尽可能多的用户进入 Apple 的产品生态中去，这也是 Apple 一贯的做法。iPhone SE 是一部定位及其精准的手机，目标人群就是那些喜欢 iOS 系统和小尺寸手机的消费者，不得不说库克还是很会做生意的。让尽可能多的用户进入 Apple 的产品生态中去，这也是 Apple 一贯的做法。	FAVOR	FAVOR	True
177	IphoneSE	外观有些失望，除了颜色很难区分5s与se，不过配置还是可喜的，当个备用机好不错，比一些廉价的安卓机好一些	NONE	FAVOR	False
181	IphoneSE	iPhoneSE 价格良心，年轻人的第一台iPhone。	FAVOR	FAVOR	True
182	IphoneSE	iPhone SE售价：16GB 399美元，约合人民币2586元；64GB 499美元，约合人民币3235元。3月24日开始预定，3月31日就开始销售， 决定入手一个，毕竟真的不喜欢大屏手机。 不管苹果多好，没中间的都是浮云。	FAVOR	NONE	False
184	IphoneSE	呵呵 ，这个手机，说白了就是苹果公司IPHONE5（S）的零件还有库存，换上6的芯片来找冤大头了，不信各位可以把这个手机和上一代苹果手机的参数对比一下你就知道，看了评论和网上商城的一些评论就知道，很多买这款手机的人以前用的都是5或者5S，几乎没有以前买大屏手机的用户来买这个手机，这说明了什么？很明显该手机就是用来迎合那些舍不得花钱买6而又想继续装苹果B的人。	AGAINST	AGAINST	True
194	IphoneSE	一直很喜欢苹果的设计，不管是我外观还是界面，一直用的iPhone6，单手操作有点困难，导致摔了很多次，在这里必须说，虽然苹果砸不了核桃，但是质量没网传那么差，现在6依然是新新的，这次SE出来，24号毫不犹豫的在官网订购了，4月5号到手，16G玫瑰金，用作备用机，续航什么的都很好特别的后置拍照，必须给力，没有出现电源键松动和黄屏现象	FAVOR	AGAINST	False
198	IphoneSE	True Tone Flash 双色温闪光灯 …这个功能是在拍摄前计算场景色温，避免单一色温闪光输出造成的肤色惨白…据说iPhone SE的Touch ID并非最新的Touch ID第二代技术(6s炫酷的3D Touch)，而仍然采用了iPhone 5s时期的初代指纹识别技术。但本质上，它就是一个小型的6s。	NONE	NONE	True
200	IphoneSE	好久没有体验到发工资带来的乐趣了，到账后立刻买了iPhoneSE，玫瑰金唯一不足西湖店和万象城店都没玫瑰金…有时候做个月光族也蛮好的，发工资了开心～	FAVOR	AGAINST	False
202	IphoneSE	不能只看6g，4g，这内存成本并不高，一些厂家只是为了显示其配置高而已。关键在用户体验！很多厂家只知道堆硬件，也只会堆硬件，所谓高配低价或适中价，以此来博取眼球。	NONE	AGAINST	False
208	IphoneSE	有时候一顿一顿的 不是很流畅	AGAINST	FAVOR	False
210	IphoneSE	讲真的，iPhone SE的玫瑰金版真心好看，比6s的玫瑰金版好看多，至少第一眼看上去不那么土了。但手感一定是6s好，SE根本不是一个档次的。	FAVOR	NONE	False
214	IphoneSE	纵观当下智能手机市场，能说得出口的 5 英寸以下的旗舰产品已然不多了。苹果公司将在本月中下旬推出 4 英寸新品 iPhone SE，外媒给出了最接近成品的渲染图。白带不异常，经典三段式，覆盖 2.5D 玻璃，整体轮廓变得更加圆润。传闻售价 3688 元起。	NONE	NONE	True
217	IphoneSE	苹果最大的优点是怎么用怎么折腾都流畅不会卡，这点真的是很难做到的，安卓你试一下狂用狂折腾看看会不会卡，呵呵	FAVOR	AGAINST	False
222	IphoneSE	特别喜欢苹果5S 方方正正，金属倒角！ 但是5S落伍了！特别可以！ 但是没想到发布了这款SE！那必须买	FAVOR	AGAINST	False
223	IphoneSE	iPhone SE…把6s的功能搬到了5s的壳子里…	AGAINST	AGAINST	True
226	IphoneSE	SE这么小屏的手机加上只有1136 x 640 分辨率，几乎所有游戏，地图导航，高清视频 都用不了或者看不清，买回去只能当作纪念和当摆设 根本不实用 完完全全的累赘	AGAINST	AGAINST	True
231	IphoneSE	PhoneSE中国预订突破340万 土豪金受追捧	FAVOR	NONE	False
237	IphoneSE	不说别的，就冲苹果的流畅度，也足够秒杀一堆国产机了吧	FAVOR	AGAINST	False
238	IphoneSE	这个什么iPhonese感觉就是来骗钱的，3000多为什么还叫便宜，还不如华为手机了，3000多国产手机都很高端了！	AGAINST	FAVOR	False
240	IphoneSE	如果苹果只是一个小牌子，我想不会有这么多人关心吧，再多的吐槽，你也不得不承认他是一部很好用的手机	FAVOR	FAVOR	True
247	IphoneSE	iPhone SE哈哈哈 和6s一样的配置，和5s一样的外观，史上最便宜的iPhone，可以可以 这下放心了，6s用户哭晕，5s再战两年   睡觉睡觉，可以不用看了	FAVOR	FAVOR	True
257	IphoneSE	室友说丹丹你不觉得iphoneSE就是为你量身定做的吗你手机卡成这样去换了吧，我觉得说的很有道理 这一款的大小确实是我心头爱。可是我没钱可是我没钱可是我没钱 我得考虑一下去做家教了 生活怎么这么艰难 手机真的很卡。。。卡。。啊。啊啊	NONE	AGAINST	False
258	IphoneSE	单手操作挺好的 谁说手机非要大屏的 少放屁啦	FAVOR	FAVOR	True
267	IphoneSE	作为一个小屏党，iPhone SE真的诱惑我。但是，作为一个男人，我觉得我的肾更重要	NONE	FAVOR	False
274	IphoneSE	总的来说，iphone SE对比5s的优点：玫瑰金，Apple Pay，更快的4g速度（体验不出），更高像素摄像头。所以买SE体验提升最大的是iphone 5的用户。	FAVOR	AGAINST	False
275	IphoneSE	配置，Apple Pay，LivePhoto，流畅度。满意。外观，握感，一般（上一步是5S），无缝切换放佛没有换手机。电池续航，惊喜。	FAVOR	AGAINST	False
276	IphoneSE	昨天去了广州天河城数码，也就是广州卖手机最大的市场，我进专卖店问店员，有没有客人买到黄屏的？店员说不知道，至今没有开过，天啦，16g都没有一台卖掉，这个市场多差	AGAINST	AGAINST	True
278	IphoneSE	我也把6给了妈妈用，自己定了一台se	FAVOR	FAVOR	True
281	IphoneSE	相信我，小屏手机只是一个嚷嚷罢了。我们要的是比较大的屏幕和较小的手机尺寸便于携带握持。就是所谓的屏占比。如果iphone5s或者se有一个4.7或者5寸的屏幕，那就真的完美了。希望手机厂商能够长点脑子。	AGAINST	FAVOR	False
282	IphoneSE	已用两周，满意，尤其电池续航！	FAVOR	FAVOR	True
283	IphoneSE	东西是挺好其实 但是你tm要提前做好保密啊！！俩月前就被曝光了 开发布会还有何意义	NONE	AGAINST	False
285	IphoneSE	迄今我最喜欢的iPhone还是5s，4寸才是拿在手里最舒服的尺寸，这本来是大量数据采集得出的结果，被三星的大屏逼的没办法才出了大屏，回归4寸是尊重人体工学的做法，别跟着安卓比大小了，他们还整天比内存和Core呢，苹果不需要参与以弥补缺陷为目的的比拼。如果6se是4寸，我就买。	FAVOR	FAVOR	True
289	IphoneSE	最新款iphone SE ！！！16g粉3210、16g金3300、16g白3310、64g粉4020、64g金4080、64g白4220、64g灰4150。	NONE	AGAINST	False
292	IphoneSE	iPhone SE是什么鬼，和iPhone5S长得一样还贵那么多，装逼都不好用。又是一个短命手机，我赌五毛。	AGAINST	AGAINST	True
293	IphoneSE	本来就是废物利用，不出故障真对不起这些用剩的硬件了	AGAINST	AGAINST	True
298	IphoneSE	4英寸新机发布？iPhone 5s也许才是大赢家：不知道这一次，苹果能不能让小屏手机重新火起来？	NONE	AGAINST	False
308	IphoneSE	便宜不了，主要面对喜欢小屏又嫌5s配置太低的人，压感屏其实在很多人眼里都是一个然并卵的功能，喜欢4寸的人真不一定需要	AGAINST	FAVOR	False
322	IphoneSE	非常好，我就喜欢4英寸的手机，而且运行起来也非常快，价格也还行	FAVOR	FAVOR	True
324	IphoneSE	看看看着眉毛就就起来了，眼累	AGAINST	AGAINST	True
325	IphoneSE	苹果在这款手机上的利润率仅有三分之一，表明苹果为了刺激淡季的手机销量，愿意牺牲一定的利润率。SE的利润率大约为35%，而6s和5s毛利率都在45%左右；显然，苹果SE的利润率明显下降。SE的物料成本和6s相比，降低了22%。可见苹果对供应链的掌控能力，利用了6s手机剩余的零部件库存，从而降低了成本。	AGAINST	AGAINST	True
326	IphoneSE	昨晚熬夜看了发布会，今天早起又看了看具体的配置。iPhone se 真的好尴尬，性能虽然和6s差不多，但是你1G运存，还能不能还好的做一个小屏旗舰呢。我感觉买se的完全就是情怀，现在我依然认为，iPhone 5s的工业设计与手感最棒没有之一！	AGAINST	AGAINST	True
328	IphoneSE	SE最突出的特点，小屏。现在的趋势是5寸以上大屏这我们都知道，不过4寸到5寸这个区间的小屏用户也肯定是有的，只是把这个小屏需求作为刚性需求的群体规模有多大不得而知。	NONE	FAVOR	False
330	IphoneSE	一个小时漫长的发布就结束啦，发布了“一小部的一大步”的4英寸iPhoneSE和 “一中部的一小步” 的9.7英寸iPadPro。没有精彩的技术革新，没有像样的设计创新，手机坏了你就买就对了，这就是那个没有了乔布斯之后的苹果商人，眼前卖更多赚更多就好，根本没必要考虑更美好的世界和将来。洗洗睡吧，晚安。	AGAINST	AGAINST	True
332	IphoneSE	像素有所提升，电池能力比以前好很多	FAVOR	FAVOR	True
335	IphoneSE	不是说显摆，你买个新手机是不是因为旧手机不想用了？然后你买一个新手机，这个新手机和旧手机又是一模一样的，有意思嘛？没有创新。	AGAINST	AGAINST	True
338	IphoneSE	外观好看，不错，菱角分明，硬件系统强悍，屏幕小了点。如果以此外观推出4.7屏幕的手机，那简直完美至极。	FAVOR	FAVOR	True
344	IphoneSE	前所未有的一个低价，来袭	FAVOR	FAVOR	True
349	IphoneSE	盖世S4这个手机陪我了3年。不离不弃终于有退休的一天了。 新机iPhonese 等了你多久终于要出来了4寸机。3:31号回武汉并给小S4放回当初买你的盒子里。	NONE	FAVOR	False
351	IphoneSE	价格很实在，能接受！	FAVOR	FAVOR	True
357	IphoneSE	感觉一点也不减低我们的逼格，扩大了消费群体了	FAVOR	AGAINST	False
366	IphoneSE	那么贵，4寸，垃圾，那么小玩游戏都玩不了，还有信号差得到死，万能钥匙又不能用，垃圾中的垃圾，千万不要买	AGAINST	AGAINST	True
369	IphoneSE	不管iPhoneSE怎么不招人待见，可是华为，中兴，vivo，oppo.等等这类大牌子手机，在外观上哪一个不是照着苹果做的，都没有自己的特点。	FAVOR	AGAINST	False
374	IphoneSE	为什么有人买5色呢？我感觉是倒退啊，别人6splus用的飞起，你还在用5，是不是有点怂？再说了，你拿个5色，谁她妈知道到底是5呢还是5s呢，还是5色呢[晕][晕][晕][晕][晕]反正都一样，没特色，没新意。	AGAINST	FAVOR	False
375	IphoneSE	用了三天，并不后悔。性价比十足，大屏手机握不住……	FAVOR	AGAINST	False
376	IphoneSE	Phone SE即将登陆印度 价格比中国贵很多：同样是新兴市场，也许这款苹果新手机在印度的市场表现不如中国。	NONE	AGAINST	False
383	IphoneSE	保佑我不要买到三星cpu的iphone se 不要买到电源键松动的ihone se 不要买到黄屏的iphone se	AGAINST	AGAINST	True
388	IphoneSE	我很惊讶居然还真有人买se	AGAINST	FAVOR	False
389	IphoneSE	来自IHS的数据显示，iPhone 6s Plus的制造成本为236美元，和iPhone SE相比增加了48%，然而这款大屏手机的定价高达749美元。从性价比角度分析，iPhone 6s Plus手机比iPhone SE价格高出了350美元，虽然制造成本只增加了48%，但是消费者却接受了88%的溢价。	NONE	NONE	True
390	IphoneSE	还可以，性价比很高，比起安卓系统很流畅，4寸很经典，但是指纹没有6s的3D强大。后续再看看，昨天刚到手，手感不错。	FAVOR	FAVOR	True
396	IphoneSE	我也不否认这款新的iPhone没有多大的市场需求 只是为了喜欢小屏的人设计的 当作一种怀恋和一个等待iphone7的缓冲吧 苹果的设计比起国产机 还是处于完美的	FAVOR	FAVOR	True
398	IphoneSE	完蛋.感觉iPhoneSE在中国市场又是5C的下场.完全就是5S外型	AGAINST	AGAINST	True
401	IphoneSE	不少人都在讨论IPHONEse的“平庸”，苹果手机作为手机中的领头羊，无论是iOS系统还是手机设计都是极出色的，而脱胎于5、5s、6、6s的se即便是没有给人耳目一新的感觉，但至少我认为se在这个价位就设计，系统等来说应该是最出色的。	FAVOR	FAVOR	True
404	IphoneSE	iPhone SE的振动不浑实有杂音，国产千元机的即视感，绝逼用了5s的振动马达存货	AGAINST	AGAINST	True
405	IphoneSE	我刚刚换的se 不好用丢给男朋友了，但是的确不好用啊喂	AGAINST	AGAINST	True
408	IphoneSE	作为一款外观和功能都没有太大改变的产品，iPhone SE被认为是苹果进一步拓展中国市场的一种途径，其目标针对价格更为敏感的消费者。 	NONE	NONE	True
410	IphoneSE	出这样的机器，会不会是当初5s的边角料的变相处理？	AGAINST	AGAINST	True
418	IphoneSE	不敢买，单单从中国首发这一点就看出问题来了，国外都在回收旧苹果，回收的去哪里了，可能这一批就是，买了怕被坑，还是等7，或者买6s，贵也贵不了多少，万一买个全身有毛病的，用不了几天的，给自己找麻烦的，不如不买，怕闹心	AGAINST	AGAINST	True
420	IphoneSE	我发现一个问题，你们帮我看看我逻辑是不是有点乱：我们在2013年，买到最新发布的 iPhone 5S ，开封完了激活使用，那种流畅的体验不正是和如今2016年发布的 iPhone SE 一模一样的吗。为什么5S会变卡？(即使还原重置) 为什么SE流畅？(和一三年的5S一样) 是不是厂商不更新软件手机就可以一直流畅下去？	NONE	NONE	True
422	IphoneSE	如此低投入高回报的大转盘活动怎可少了我！这不科学！拼人品的时候到了！转盘转起来，大奖快到碗里来！我参加了活动“果粉福利 抢拍iphoneSE 三色可选 货到即发”	FAVOR	AGAINST	False
424	IphoneSE	iPhoneSE用了一天的感受：物流牛逼到爆，10点就送到公司了。包装依然没有梯形口转接头，激活以后貌似联通信号比之前手机有点差。所以可能跟信号不稳和新机器大量装APP比的原因，导致掉电如尿崩，晚上到家只有30%了，拿到新机是90%+的。没用过5s，就是感觉好尼玛膈手…流畅程度绝逼牛逼，毕竟2G运存+A9	FAVOR	AGAINST	False
425	IphoneSE	千万不要买iphoneSE，买了两个，玫瑰金的相机不能用，土豪金的耳机不能用，难道是我人品爆差，两个都有问题，可是也说明手机本身有问题。请扩散周知，防止买到差的产品。 	AGAINST	AGAINST	True
429	IphoneSE	iPhone SE黄屏的问题，其实在之前的iPhone 5和iPhone 5S刚上市的时的情况如出一辙，并不算什么新鲜事儿～按照官方解释和以往的经验来看，这是粘合剂在干燥的过程中，会让屏幕出现发黄的现象。一般来说，这种情况在正常使用过程中慢慢消失。回头看看5、5S、5C就清楚了了。SE的按键松动倒是确实存在的	NONE	NONE	True
430	IphoneSE	苹果iPhone SE即将发布，业界预计其售价将是3688元，如此的话这将是必然的陪衬，因为在这个价格段有iPhone 6这款热卖的产品，相比较之下iPhone SE的卖点并不多，然而其4寸屏却未必是大家喜欢的尺寸	NONE	NONE	True
431	IphoneSE	已用两周，满意，尤其电池续航！	FAVOR	FAVOR	True
434	IphoneSE	主要看屏幕大小需求了，这是最大差别，操作和续航是se的优势，如果对手机的功能性要求不强，se倒是不错的选择。ps.用着最爽的其实是touch	FAVOR	AGAINST	False
438	IphoneSE	到底入手哪个呢，因为之前有使用iphone的经历，所以还是认为安卓手机比较好用，但是安卓没有小屏手机，对使用大屏手机还是不太适应，摩托罗拉X极的外形真心不错，但屏幕太大，影响了手感，相对说iphone se的手感肯定要好，但还是用着不太习惯，要是X极有mini版的就好了，也想使用下摩托罗拉的手机。	NONE	NONE	True
440	IphoneSE	iPhone SE的PP壳工厂已经出货了，明天买台SE测试一下先，手里没4寸机。睡觉了，又要生病了…	NONE	NONE	True
448	IphoneSE	iPhone5 SE 一出来，对国内那些总想进军「高端」（主要是价格高）的厂商简直是当头一棒。同样三千块，我买你「高端」的 vivo 还是 OPPO 还是小米 5 高配版呢？	FAVOR	FAVOR	True
449	IphoneSE	完全不担心它的质量啊。i5的时候摔的屏幕都碎完了，完全不能显示，外壳也掉了……仍然可以连接电脑备份资料。	FAVOR	AGAINST	False
450	IphoneSE	4月22日消息，苹果下调了旗下iPhone SE/6/6s在日本的售价，降价幅度达10%	NONE	NONE	True
452	IphoneSE	iPhone SE的Sim卡针和以前的造型有所不同，更像是一根曲别针。	NONE	NONE	True
461	IphoneSE	#iPhoneSE# 的电源键/锁屏键 好松啊。一晃直响，同事买的也这样，是都这样么…	AGAINST	AGAINST	True
463	IphoneSE	iPhone前段时间出的一部se简直让我眼前一亮啊，5S的外观造型，却是6S的配置 好好挣钱，争取早日换机	FAVOR	FAVOR	True
470	IphoneSE	合租室友一起三个人，不是一个系统，不入一个门 wait for iPhoneSE	FAVOR	FAVOR	True
471	IphoneSE	说不如买6的人够了，本来就是卖给喜欢小屏的人的，比6高的配置凭什么比6便宜？别拿5c说事，上市季度，定位都不一样。	FAVOR	FAVOR	True
493	IphoneSE	Iphone SE 的手感实在是太好了	FAVOR	AGAINST	False
496	IphoneSE	5S的外表，6S的内心，iPhoneSe却是在苹果家族转型升级中推出的非常低廉的休憩！	FAVOR	FAVOR	True
498	IphoneSE	一点都不比国产的手机贵。	FAVOR	AGAINST	False
505	IphoneSE	今晚iphone春季发布会，发布新机iphoneSE！大家拭目以待看看跟我手上用的是不是一摸一样 传闻电源开机键是在上面的不是侧面	NONE	FAVOR	False
509	IphoneSE	我嫌弃凸出的摄像头，所以比较喜欢5S和SE	FAVOR	FAVOR	True
510	IphoneSE	同一个无线，iphone5的上网速度比iphoneSE快三倍= =……SE的图片和视频还老刷不出来……SE一旦更新程序，整体网络就卡的不行，包括我的笔记本的网络……重置了网络关了定位也没有变化……唉，下下周末要拿去旗舰店看看……	AGAINST	AGAINST	True
516	IphoneSE	摔不坏,耐用,内存大,不死机,像素好	FAVOR	AGAINST	False
524	IphoneSE	号称史上最强劲的4寸手机，IP5的外观，IP6的内在，回归了小尺寸的设计，那么问题来了：你是从几代手机开始，对苹果手机无感的？	AGAINST	AGAINST	True
526	IphoneSE	作为日常必须有安卓在手的双机党，越来越想买一台iPhone SE了。4寸屏幕够看，手感巨好，轻松拿放，单手操作十分惬意，性能流畅性也秒杀安卓旗舰，拍照也是旗舰品质，续航也还不赖，ios的生态也确实舒适。小屏不爽了不还有大屏安卓替代么，再大还有笔记本跟电视呢。	FAVOR	FAVOR	True
538	IphoneSE	和iPhone 5S基本一致，4英寸小屏，不再突出的摄像头。与iPhone 6s一致的A9处理器，在性能上比iPhone 5s提高了将近两倍。配备1GB RAM+16GB ROM/64GB ROM内存组合，1200万像素主摄像头，支持4K视频录制，支持Apple Pay功能。16GB版售价3288元，64GB版售价4088元。	FAVOR	FAVOR	True
545	IphoneSE	我就想知道它的主要功能是什么。 有没有特殊的功能	NONE	AGAINST	False
551	IphoneSE	起码苹果的想法是很好的，就等你了	FAVOR	FAVOR	True
556	IphoneSE	众所周知，国行版苹果iPhone SE已在昨日正式上市，许多预订用户都在第一时间拿到了真机。然而欣喜之余，不少用户发现，iPhone SE存在黄屏问题	NONE	NONE	True
557	IphoneSE	有特色，界面也是很有感觉	FAVOR	FAVOR	True
561	IphoneSE	Iphone SE 今天拿到手，系统运行还不错，但手感和质感方面上不及6系，下不及4S，其他待使用后感受。	AGAINST	FAVOR	False
572	IphoneSE	作为售价相对低廉的一款 iPhone，并且具备与 iPhone 6S 几乎相同的性能，这点务必会吸引不少低消费人群和 Android 阵营的用户，进一步去压榨潜在用户可能才是苹果推出 iPhone SE 的真正目的。	AGAINST	NONE	False
