ID	TARGET	TEXT	STANCE	WORDS	LENGTH
34	IphoneSE	没错我爱上了iPhone SE	FAVOR	没错 我 爱 上 iphone se	6
35	IphoneSE	iphone se来的太及时。所以我这个用了两年的老人机为什么还不坏[拜拜]，我都不能理直气壮的找我爸要求换手机	FAVOR	iphone se 来 太 及时 所以 我 这个 用 两年 老人 机 为什么 什么 还 不坏 拜拜 我 都 不能 理直气壮 找 我 爸 要求 换 手机	27
36	IphoneSE	使用一个多星期..一切正常..速度是比6快一点..就是买了个16G的...空间太捉急..	NONE	使用 一个 一个多 星期 一切 一切正常 正常 速度 是 比 number 快 一点 就是 买 个 number g 空间 太 捉 急	22
37	IphoneSE	iPhone SE基本保持了与iPhone 5s一样的外形，同时加入了玫瑰金配色。iPhone SE将于3月29日在内地首发，售价是3288元起，你会第一时间买吗？	FAVOR	iphone se 基本 保持 与 iphone number s 一样 外形 同时 加入 玫瑰 金 配色 iphone se 将 于 number 月 number 日 在 内地 首发 售价 是 number 元 起 你 会 第一 时间 买 吗	37
38	IphoneSE	还行吧 就是屏幕太小 每打一个字母 都要重复几次才正确 别说 这段话我打了二十多分钟才打完🙄😤	AGAINST	还行 就是 屏幕 太小 每 打 一个 字母 都 要 重复 几次 才 正确 别说 这段 这段话 我 打 二十 二十多 二十多分钟 十多 十多分 十多分钟 多分 多分钟 分钟 才 打完	30
39	IphoneSE	你身边有意向买这款新手机的人多吗？	AGAINST	你 身边 有 意向 买 这款 新手 新手机 手机 人 多 吗	12
40	IphoneSE	再高价买屏幕那么小，价格那么高的SE是不是傻？	AGAINST	再 高价 买 屏幕 那么 小 价格 那么 高 se 是不是 不是 傻	13
41	IphoneSE	已经成功的吸引我了	FAVOR	已经 成功 吸引 我	4
42	IphoneSE	生活不止眼前的苟且我还关心3个小时后的iPhonese好会卖成什么样子	FAVOR	生活 不止 眼前 苟且 我 还 关心 number 个 小时 后 iphonese 好 会 卖 成 什么 样子	18
43	IphoneSE	买了se感觉得买个平板	AGAINST	买 se 感觉 得 买 个 平板	7
44	IphoneSE	但到了印度就不灵了，价格甚至比当地的 iPhone 6s 还高。	NONE	但 到 印度 就 不灵 价格 甚至 比 当地 iphone number s 还 高	14
45	IphoneSE	你现在出这么个功能机的小屏幕，配置超过苹果6的了，让苹果6情何以堪？！	AGAINST	你 现在 出 这么 个 功能 机 小 屏幕 配置 超过 苹果 number 让 苹果 number 情 何以 何以堪	19
46	IphoneSE	iPhoneSE真是一款有诚意的作品 SE=sorry everyone	AGAINST	iphonese 真是 一款 有 诚意 作品 se sorry everyone	9
48	IphoneSE	iPhone SE性能和功能上都和iPhone 6s旗鼓相当了，价格比Apple官方在售的iPhone 6还要低	AGAINST	iphone se 性能 功能 上 都 iphone number s 旗鼓 旗鼓相当 相当 价格 价格比 apple 官方 在 售 iphone 还要 低	21
49	IphoneSE	其成本价格居然在260美元左右，这多少有点出乎意料。	NONE	其 成本 价格 居然 在 number 美元 左右 这 多少 有点 出乎 出乎意料 意料	14
50	IphoneSE	关掉siri后会出现语音控制界面，今天拿去苹果售后检测没有任何问题，而且home键估计也不怎么好用,重装系统两次然而并没有卵用	AGAINST	关掉 siri 后会 出现 语音 控制 界面 今天 拿 去 苹果 售后 检测 没有 任何 问题 而且 home 键 估计 也 不怎么 怎么 好 用 重装 重装系统 系统 两次 然而 并 没有 卵 用	34
51	IphoneSE	该机并没有带来惊喜，因为它跟iPhone5s几乎完全一样，但这并不意味着是一件坏事，因为不少消费者表示该设计是比较经典的	NONE	该机 并 没有 带来 惊喜 因为 它 跟 iphone5s 几乎 完全 一样 但 这 并 不 意味 意味着 是 一件 坏事 因为 不少 消费 消费者 表示 该 设计 是 比较 经典	31
53	IphoneSE	会提升产品销量，进一步提升销售额和盈利水平。但这一举动无疑和苹果做极致产品的文化和战略是相违背的，苹果逐渐不那么高傲了！	NONE	会 提升 产品 销量 进一步 一步 提升 销售 销售额 盈利 水平 但 这 一 举动 无疑 苹果 做 极致 产品 文化 战略 是 相 违背 苹果 逐渐 不 那么 高傲	30
54	IphoneSE	反而要推出更小的iPhoneSE和iPad Pro。要想理解苹果为什么要“往回走”，从苹果的用户群变化来研究或许是最好的着手点。	NONE	反而 要 推出 更 小 iphonese ipad pro 要 想 理解 苹果 为什么 什么 要 往回 走 从 苹果 用户 用户群 变化 来 研究 或许 是 最好 着手 点	29
55	IphoneSE	不过苹果并没有说电池，内存，续航对比时候用的一项也是3G时长，感觉有猫腻	AGAINST	不过 苹果 并 没有 说 电池 内存 续航 对比 时候 用 一项 也 是 number g 时长 感觉 有 猫腻	20
56	IphoneSE	SE，小手无法掌握那么大的手机	FAVOR	se 小手 无法 掌握 那么 大 手机	7
57	IphoneSE	更新升级我都不爱，就喜欢稳定性	FAVOR	更新 升级 我 都 不 爱 就 喜欢 稳定 稳定性 定性	11
58	IphoneSE	SE入手一个星期使用感受：单手持握的体验真的太美好了！	FAVOR	se 入手 一个 星期 使用 感受 单 手持 握 体验 真的 太 美好	13
59	IphoneSE	已用21天，爽哭…	FAVOR	已用 number 天 爽 哭	5
60	IphoneSE	买一个回去给姥姥？	FAVOR	买 一个 回去 给 姥姥	5
61	IphoneSE	但是5s外观没法装逼了，还是等七吧	AGAINST	但是 number s 外观 没法 装 逼 还是 等 七	10
62	IphoneSE	但应该不会再像iPhone 5c一样以惨淡结局收场了。	NONE	但 应该 不会 再 像 iphone number c 一样 以 惨淡 结局 收场	13
65	IphoneSE	边缘触控不灵敏等。近日又有外媒机构测试了iPhone SE的硬度，在经过一系列测试后发现其耐用度可能不如4.7英寸的iPhone 6s和5.5英寸的iPhone 6s Plus。	NONE	边缘 触 控 不灵 不灵敏 灵敏 等 近日 又 有 外 媒 机构 测试 iphone se 硬度 在 经过 一系 一系列 系列 测试 后 发现 其 耐用 耐用度 用度 可能 不如 4 7 英寸 iphone number s 5 5 英寸 iphone number s plus	44
66	IphoneSE	苹果想救市，就用心，拿点新东西出来。现在不是五年前，钱好赚，肾好卖	AGAINST	苹果 想 救 市 就 用心 拿 点 新 东西 出来 现在 不是 五年 前 钱 好赚 肾 好 卖	20
67	IphoneSE	拍照清楚，支持4k	FAVOR	拍照 清楚 支持 number k	5
69	IphoneSE	不光是屏幕更小 iPhone SE的指纹识别和屏幕显示都比6s差 也就是说iPhoneSE的指纹传感器与屏幕素质都不及iPhone 6s。	AGAINST	不光 是 屏幕 更 小 iphone se 指纹 指纹识别 识别 屏幕 屏幕显示 显示 都 比 number s 差 也就是说 就是 就是说 iphonese 指纹 传感 传感器 感器 与 屏幕 素质 都 不及 iphone number s	34
70	IphoneSE	多了一个玫瑰金，性能大约是5s的两倍和6s差不多，但相比6s少了很多功能	AGAINST	多 一个 玫瑰 金 性能 大约 是 number s 两倍 number s 差不多 不多 但 相比 number s 少 很多 功能	21
71	IphoneSE	当5S使，低调而富有内涵。	FAVOR	当 number s 使 低调 而 富有 内涵	8
72	IphoneSE	新款系列也应运而生了。	NONE	新款 系列 也 应运 应运而生	5
73	IphoneSE	用了五年爱疯4的胖子终于等到了适合他的机型  爱疯se…	FAVOR	用 五年 爱 疯 number 胖子 终于 等到 适合 他 机型 爱 疯 se	14
74	IphoneSE	和5S一摸一样的SE。虽然首批有中国。但是一点都不期待。晚安	AGAINST	number s 一 摸 一样 se 虽然 首批 有 中国 但是 一点 都 不 期待 晚安	16
76	IphoneSE	买了iPhone SE 你是否会跳过iPhone 7升级?：对于很多人来说，iPhone SE却是“最好”的选择	FAVOR	买 iphone se 你 是否 会 跳 过 iphone 升级 对于 很多 人 来说 iphone se 却是 最好 选择	19
77	IphoneSE	这功能算是很强大了	FAVOR	这 功能 算是 很 强大	5
78	IphoneSE	卖了PLUS入了SE，感觉好轻松啊	FAVOR	卖 plus 入 se 感觉 好 轻松 啊	8
79	IphoneSE	上手良好屏幕无异常。	FAVOR	上 手 良好 屏幕 无 异常	6
81	IphoneSE	可能屏幕小了些，但对于喜欢小屏，单手操作的来说还是很不错的	FAVOR	可能 屏幕 小 些 但 对于 喜欢 小 屏 单手 单手操作 操作 来说 还是 很 不错	16
82	IphoneSE	更是人性和习惯，这显然犯了营销大忌。库克领导下的苹果，当乔布斯时代光环褪却后还能走多远，令人堪忧。	AGAINST	更是 人性 习惯 这 显然 犯 营销 大忌 库克 领导 下 苹果 当 乔布 乔布斯 布斯 时代 光环 褪 却 后 还 能 走 多 远 令人 令人堪忧 堪忧	29
83	IphoneSE	64GB版本iPhone SE在安兔兔上跑出了13.4万分的成绩，直逼三星S7、小米5等一众安卓旗舰。值得一提的是iPhone SE的内存也证实是2GB。	FAVOR	number gb 版本 iphone se 在 安 兔 兔 上 跑 出 13 4 万分 成绩 直逼 三星 s7 小米 number 等 一 众 安 卓 旗舰 值得 值得一提 值得一提的是 iphone se 内存 也 证实 是 number gb	38
86	IphoneSE	一会儿弄个小屏，时不时还整个中不溜，外观耍花样系统却无任何实质性的突破，看来Steve Jobs的理念都快被抛弃差不多了   用来用去都觉得乔帮主的4s最经典，还是决定好好爱护我的小黑	AGAINST	一会 一会儿 会儿 弄 个 小 屏 时不时 不时 还 整个 中不溜 外观 耍花样 花样 系统 却 无 任何 实质 实质性 突破 看来 steve jobs 理念 都 快 被 抛弃 差不多 不多 用来 用来用去 来用 用去 都 觉得 乔帮主 帮主 number s 最 经典 还是 决定 好好 爱护 我 小黑	50
88	IphoneSE	iPhoneSE配置还行，外观有一点失望了，继续睡	AGAINST	iphonese 配置 还 行 外观 有 一点 失望 继续 睡	10
89	IphoneSE	5S是苹果做得最好看的一部手机。SE结合了5S好看的外观和6S更优秀的配置，是一次很不错的升级。	FAVOR	number s 是 苹果 做 得 最 好看 一部 手机 se 结合 number s 好看 外观 number s 更 优秀 配置 是 一次 很 不错 升级	26
90	IphoneSE	“PSV和游戏带卖了1200，” / “然后呢？” / “然后我爸给我打了3500。” / 。。。	NONE	psv 游戏 带 卖 number 然后 呢 然后 我 爸 给 我 打 number	14
93	IphoneSE	可是你太黄了。	AGAINST	可是 你 太 黄	4
97	IphoneSE	销售人员解释这是苹果特意为亚洲人调的暖屏，我就随口问了句为什么旁边的Iphone6S为什么不暖。问完我分明从销售人员的眼中读到了“你TMD是来闹事的吧？！”	NONE	销售 人员 解释 这 是 苹果 特意 为 亚洲 人 调 暖 屏 我 就 随口 问 句 为什么 什么 旁边 iphone6s 为什么 什么 不 暖 问 完 我 分明 从 销售 人员 眼中 读到 你 tmd 是 来 闹事	40
98	IphoneSE	iPhoneSE 和5S区别好像只有玫瑰金	AGAINST	iphonese number s 区别 好像 只有 玫瑰 金	8
99	IphoneSE	一天都不用充电，一上午待机都是100%	FAVOR	一天 都 不用 充电 一上 一上午 上午 待机 都 是 number	11
102	IphoneSE	，而且电源键，送的程度很大，，一直在摇晃。。非常不好	AGAINST	而且 电源 键 送 程度 很大 一直 在 摇晃 非常 不好	11
103	IphoneSE	换货两次，se真的很失望	AGAINST	换货 两次 se 真的 很 失望	6
105	IphoneSE	但事实上，大屏时代后很多人反而想有一款能单手操作，方面携带的小屏手机。4寸iPhone SE 发货已经变更为“2-3 周”。	FAVOR	但 事实 事实上 大 屏 时代 后 很多 人 反而 想 有 一款 能 单手 单手操作 操作 方面 携带 小 屏 手机 number 寸 iphone se 发货 已经 变更 为 周	31
107	IphoneSE	PhoneSE横空出世然而我觉着这个定价并不符合某些人的消费心理 我是说他们巴不得苹果出一款贴满钻石黄金机身定价XX万的限量 就比如我认识一个暴发户傻叉 每每豪掷千金买下最大内存版本 至今都不知道如何连接itunse 对于iPhones 饿的出现他势必咬牙切齿	AGAINST	phonese 横空 横空出世 空出 出世 然而 我 觉着 这个 定价 并 不 符合 某些 人 消费 心理 我 是 说 他们 巴不得 不得 苹果 出 一款 贴 满钻石 钻石 黄金 机身 定价 xx 万 限量 就 比如 我 认识 一个 暴发 暴发户 傻 叉 每每 豪 掷 千金 买下 最大 内存 版本 至今 都 不 知道 如何 连接 itunse 对于 iphones 饿 出现 他 势必 咬牙 咬牙切齿 切齿	68
108	IphoneSE	显然还是有些高。如果说行货价位偏高，美国仅卖2600不到，高价格相反更符合一批国人的“心愿”。	AGAINST	显然 还是 有些 高 如果 如果说 行货 价位 偏 高 美国 仅 卖 number 不到 高 价格 相反 更 符合 一批 国人 心愿	23
109	IphoneSE	该机在外观上与iPhone5s几无二致，但在配置和功能上又非常接近iPhone6s	FAVOR	该机 在 外观 上 与 iphone5s 几无二致 但 在 配置 功能 上 又 非常 接近 iphone6s	16
110	IphoneSE	不过5已经停产了，也没有指纹识别，如果换手机，我会考虑iPhone SE的，毕竟价格也合适。	FAVOR	不过 已经 停产 也 没有 指纹 指纹识别 识别 如果 换 手机 我会 考虑 iphone se 毕竟 价格 也 合适	19
111	IphoneSE	价格还很亲民，国产厂商要伤脑筋了。	FAVOR	价格 还 很 亲 民 国产 厂商 要 伤脑筋 脑筋	10
114	IphoneSE	但是锁定屏幕时最后屏幕关闭时候中间那一块会出现在眼前，你也是这样吗，为什么不是全部暗的	AGAINST	但是 锁定 屏幕 时 最后 屏幕 关闭 时候 中间 那 一块 会 出现 在 眼前 你 也 是 这样 吗 为什么 什么 不是 全部 暗	25
115	IphoneSE	这手机有人买？	AGAINST	这 手机 有人 买	4
118	IphoneSE	显然还是有些高。如果说行货价位偏高，美国仅卖2600不到，高价格相反更符合一批国人的“心愿”。	AGAINST	显然 还是 有些 高 如果 如果说 行货 价位 偏 高 美国 仅 卖 number 不到 高 价格 相反 更 符合 一批 国人 心愿	23
119	IphoneSE	哪哪都好，屏幕正好。	FAVOR	哪 哪 都 好 屏幕 正好	6
120	IphoneSE	现在来看，仍旧如此优雅。	FAVOR	现在 来看 仍旧 如此 优雅	5
122	IphoneSE	要是金色配黑色的iPhoneSE。我可以考虑考虑	FAVOR	要是 金色 配 黑色 iphonese 我 可以 考虑 考虑	9
123	IphoneSE	iPhone SE只有4英寸的屏幕不说，起步价在印度也高达590美元，比美国还贵48%，而印度市场上其他品牌的4英寸手机都不到150美元。	AGAINST	iphone se 只有 英寸 屏幕 不 说 起步 起步价 在 印度 也 高 达 number 美元 比 美国 还 贵 number 而 印度 市场 上 其他 品牌 number 英寸 手机 都 不到 number 美元	34
125	IphoneSE	所以iPhone se如果加上这些条件，就会加上v e n这三个字母。摇身一变，iPhone seven问世。	AGAINST	所以 iphone se 如果 加上 这些 条件 就 会 加上 n 这 三个 字母 摇身 摇身一变 iphone seven 问世	19
126	IphoneSE	而是加入3D Touch功能需要改进屏幕，而这肯定需要对建立在iPhone 5外观基础上的SE进行改进，改进意味着成本增加，只知道赚钱和玩供应链的库克是不会这么做的。	AGAINST	而是 加入 number d touch 功能 需要 改进 屏幕 而 这 肯定 需要 对 建立 在 iphone 外观 基础 上 se 进行 改进 改进 意味 意味着 成本 成本增加 增加 只 知道 赚钱 玩 供应 供应链 库克 是 不会 这么 做	40
129	IphoneSE	，，  没有我6s好。	AGAINST	没有 我 number s 好	5
130	IphoneSE	苹果系统的易用性更不用说。只是用过大屏幕的，很难在接受小屏了，retina也不行…	FAVOR	苹果 系统 易用 易用性 更 不用 不用说 只是 用 过 大屏幕 屏幕 很 难 在 接受 小 屏 retina 也 不行	21
133	IphoneSE	最便宜的iphone	FAVOR	最 便宜 iphone	3
134	IphoneSE	或者小屏幕问题，这些可能是因人而异的，在我看来，因为我的略高手也稍微大一点，所以SE握在我手上也没太大的难受感。	FAVOR	或者 小 屏幕 问题 这些 可能 是 因人 因人而异 在我看来 看来 因为 我 略 高手 也 稍微 大 一点 所以 se 握 在 我 手上 也 没 太大 难受 感	30
135	IphoneSE	其中主要是金色版本，而这些iPhone SE在上架大约一小时后便卖个精光。而iPhone SE可能在美国本土并没有带来太大的效应。	NONE	其中 主要 是 金色 版本 而 这些 iphone se 在 上架 大约 一 小时 后 便 卖 个 精光 而 iphone se 可能 在 美国 本土 并 没有 带来 太 大 效应	32
136	IphoneSE	还是苹果真的不行了。	AGAINST	还是 苹果 真的 不行	4
138	IphoneSE	讓你拍攝精彩絕倫的相片和 4K 影片；更有 Live Photos，隨時讓你的影像生動活現。這一切，都令這部外形小巧的 iPhone，處處大放精彩。	FAVOR	讓 你 拍 攝 精彩 絕 倫 相片 number k 影片 更 有 live photos 隨 時 讓 你 影像 生 動 活 現 這 一切 都 令 這 部 外形 小巧 iphone 處 處 大 放 精彩	38
139	IphoneSE	红米 Note3 的指纹解锁成功率「感人」，iPhone SE 隔着 PE 手套都可以成功解锁……	FAVOR	红 米 note3 指纹 解锁 成功 成功率 功率 感人 iphone se 隔 着 pe 手套 都 可以 成功 解锁	19
140	IphoneSE	还以为是前几年，苹果贵依然大面积有人买，现在和苹果媲美的手机太多了。。	AGAINST	还 以为 是 前 几年 苹果 贵 依然 大面 大面积 面积 有人 买 现在 苹果 媲美 手机 太 多	19
141	IphoneSE	摄像头是平的耶！	FAVOR	摄像 摄像头 像头 是 平 耶	6
142	IphoneSE	屏幕就是轻微上下浮动。就几个点用力按才有小声音。se力度更轻，面积更大。声音更响。希望有同样买se的同学看看自己手机右侧屏幕。用力按是否有声音	AGAINST	屏幕 就是 轻微 上下 浮动 就 几个 点 用力 按 才 有 小 声音 se 力度 更 轻 面积 更 大 声音 更 响 希望 有 同样 买 se 同学 看看 自己 手机 右侧 屏幕 用力 按 是否 有 声音	40
143	IphoneSE	而据最新进展，A9、M9的希望越来越大。存储容量方面，iPhone 5SE仍然会是16GB起步，然后就是64GB。	NONE	而 据 最新 最新进展 新进展 进展 a9 m9 希望 越来 越来越 大 存储 存储容量 容量 方面 iphone number se 仍然 会 是 number gb 起步 然后 就是 number gb	29
144	IphoneSE	蓝色屏幕（冷色调）有蓝光短波，刺激视网膜，引起眼压升高和青光眼。	FAVOR	蓝色 屏幕 冷色 冷色调 色调 有 蓝光 短波 刺激 视网 视网膜 网膜 引起 眼压 升高 青光 青光眼	17
145	IphoneSE	退了退了。”想想SE也是够可怜。	AGAINST	退 退 想想 se 也 是 够 可怜	8
146	IphoneSE	但屏幕尺寸略小，需要适应，续航能力一般，充电速度一般。	FAVOR	但 屏幕 尺寸 略 小 需要 适应 续航 能力 一般 充电 速度 一般	13
148	IphoneSE	最无聊的一次发布，disappointed	AGAINST	最 无聊 一次 发布 disappointed	5
149	IphoneSE	一直纠结是随便买个便宜的手机挺半年等出iPhone7呢，还是买个SE等出iPhone7s.iPhone8.iPhone8s.iPhone9……呢。这一些的纠结都来源于q i o n g 穷	NONE	一直 纠结 是 随便 买 个 便宜 手机 挺 半年 等 出 iphone7 呢 还是 买 个 se 等 出 iphone7s iphone8 iphone8s iphone9 呢 这 一些 纠结 都 来源 来源于 源于 穷	33
150	IphoneSE	屏幕有问题。压爆了显示ic	AGAINST	屏幕 有 问题 压 爆 显示 ic	7
153	IphoneSE	当然也有人认为它可以让苹果焕发又一春。	NONE	当然 也 有人 认为 它 可以 让 苹果 焕发 又 一 春	12
155	IphoneSE	感觉不如红米 note3 快。	AGAINST	感觉 不如 红 米 note3 快	6
156	IphoneSE	尽管在产品定价方面愈发咄咄逼人，分析师却预计，廉价iPhone只会给苹果智能手机销量带来小幅提升。	NONE	尽管 在 产品 定价 方面 愈发 咄咄 咄咄逼人 逼人 分析 分析师 却 预计 廉价 iphone 只 会 给 苹果 智能 智能手机 能手 手机 销量 带来 小幅 提升	27
157	IphoneSE	应该不会通过降价来提高销量，毕竟品牌效应。	NONE	应该 不会 通过 降价 来 提高 销量 毕竟 品牌 品牌效应 效应	11
158	IphoneSE	尽管配置出来的时候满满的失望 不过今晚看完发布会又动了买的念头 别再说不如买个5s了 真正用了5s就知道了 iOS7系统已经处于被淘汰的边缘了 越来越多的应用已经放弃iOS7了 可是如果升到iOS9又会卡得要死 基本跟板砖无异 出了se后 5s真的是走到末路了	AGAINST	尽管 配置 出来 时候 满满 满满的 失望 不过 今晚 看 完 发布 发布会 又 动 买 念头 别 再说 不如 买 个 number s 真正 用 number s 就 知道 ios7 系统 已经 处于 被 淘汰 边缘 越来 越来越 多 应用 已经 放弃 ios7 可是 如果 升到 ios9 又 会 卡 得 要死 基本 跟 板砖 无异 出 se 后 number s 真的 是 走到 末路	66
159	IphoneSE	因为售价便宜，因此利润率大幅降低。	AGAINST	因为 售价 便宜 因此 利润 利润率 大幅 降低	8
160	IphoneSE	手机市场整体饱和了，销量是相对的，亚太厂商不好好把心思放在产品上，就知道背地抹黑别人。	FAVOR	手机 市场 整体 饱和 销量 是 相对 亚太 厂商 不 好好 把 心思 放在 产品 上 就 知道 背 地 抹黑 别人	22
162	IphoneSE	昨天在手机城看到一个卖小米五标准版的居然卖2880我想说还不如多几百买个iPhonese呢	FAVOR	昨天 在 手机 手机城 看到 一个 卖 小米 五 标准 标准版 居然 卖 number 我 想 说 还 不如 多 几百 买 个 iphonese 呢	25
163	IphoneSE	App Store 进去时候有时会卡住 需要重启	AGAINST	app store 进去 时候 有时 会 卡住 需要 重启	9
170	IphoneSE	人家又不傻，能发布4寸机，肯定这方面还是有市场的（个人并不喜欢大屏），苹果能从大屏回归小屏，国产机敢玩吗？而且被誉为史上最便宜的苹果，国产机迎接好挑战了吗。感觉必定对安卓中高端有一定冲击！（个人理解，不喜勿喷）	FAVOR	人家 又 不 傻 能 发布 number 寸 机 肯定 这方 这方面 方面 还是 有 市场 个人 并 不 喜欢 大 屏 苹果 能 从 大 屏 回归 小 屏 国产 国产机 敢 玩 吗 而且 被誉为 誉为 史 上 最 便宜 苹果 国产 国产机 迎接 好 挑战 吗 感觉 必定 对 安 卓 中 高端 有 一定 冲击 个人 理解 不 喜 勿 喷	65
171	IphoneSE	两成苹果用户仍在用iPhone 6之前机型，新兴市场期待低价机型。对销量停滞的苹果来说，这块数千万销量的细分蛋糕不容放弃。	NONE	两成 苹果 用户 仍 在 用 iphone 之前 机型 新兴 市场 期待 低价 机型 对 销量 停滞 苹果 来说 这块 数千 数千万 千万 销量 细分 蛋糕 不容 放弃	28
172	IphoneSE	但最近用的聊天软件kakao talk却让我升级最新版本，不升级就不能使用，以此逼我不得不换手机了。喜欢小屏幕的我，买iPhone SE 还是等iPhone 7？	NONE	但 最近 用 聊天 软件 kakao talk 却 让 我 升级 最新 版本 不 升级 就 不能 使用 以此 逼 我 不得 不得不 换 手机 喜欢 小 屏幕 我 买 iphone se 还是 等 iphone	35
173	IphoneSE	关于iPhone se，其实我只是感兴趣那个护眼的功能 毕竟每天晚上即便屏幕亮度调到最低也还是觉得好亮好刺眼……	FAVOR	关于 iphone se 其实 我 只是 感兴 感兴趣 兴趣 那个 护眼 功能 毕竟 每天 每天晚上 晚上 即便 屏幕 亮度 调 到 最低 也 还是 觉得 好 亮 好 刺眼	29
